"","year","pc_GDP","region","gcam.consumer","model","Units","input","value","totalPop","subregional.population.share"
"1",1975,0.09422942745944,"Africa_Eastern","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"2",1975,0.17284306915512,"Africa_Eastern","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"3",1975,0.21942137994952,"Africa_Eastern","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"4",1975,0.26566876949648,"Africa_Eastern","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"5",1975,0.3171225656816,"Africa_Eastern","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"6",1975,0.38574217437224,"Africa_Eastern","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"7",1975,0.48325775986768,"Africa_Eastern","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"8",1975,0.6676609788464,"Africa_Eastern","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"9",1975,0.94506596443224,"Africa_Eastern","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"10",1975,2.452747892728,"Africa_Eastern","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",6.88943458110248,9189,0.1
"11",1975,0.37881238978,"Africa_Northern","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"12",1975,0.598111483524,"Africa_Northern","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"13",1975,0.756437525504,"Africa_Northern","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"14",1975,0.911641526544,"Africa_Northern","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"15",1975,1.162321473676,"Africa_Northern","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"16",1975,1.45498746228,"Africa_Northern","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"17",1975,1.861811359232,"Africa_Northern","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"18",1975,2.79591219066,"Africa_Northern","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"19",1975,3.786571965636,"Africa_Northern","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"20",1975,8.761392623164,"Africa_Northern","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",6.09770066907242,8133,0.1
"21",1975,0.047926651422,"Africa_Southern","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"22",1975,0.10513403638191,"Africa_Southern","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"23",1975,0.15795837363465,"Africa_Southern","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"24",1975,0.21337327410204,"Africa_Southern","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"25",1975,0.29609412154011,"Africa_Southern","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"26",1975,0.4384147693227,"Africa_Southern","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"27",1975,0.67344285170058,"Africa_Southern","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"28",1975,0.93185714713509,"Africa_Southern","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"29",1975,1.45294111382922,"Africa_Southern","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"30",1975,4.0350676609317,"Africa_Southern","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",3.97711336151009,5304.6,0.1
"31",1975,0.094746226281,"Africa_Western","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"32",1975,0.184517722095,"Africa_Western","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"33",1975,0.272250187503,"Africa_Western","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"34",1975,0.379033034583,"Africa_Western","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"35",1975,0.504455133378,"Africa_Western","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"36",1975,0.72803120796,"Africa_Western","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"37",1975,1.015008375339,"Africa_Western","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"38",1975,1.343798806182,"Africa_Western","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"39",1975,1.976588073033,"Africa_Western","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"40",1975,4.442571233646,"Africa_Western","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",11.9329895301803,15916,0.1
"41",1975,2.0929748342492,"Argentina","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"42",1975,3.5835586555956,"Argentina","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"43",1975,4.6272262307788,"Argentina","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"44",1975,5.6181675838816,"Argentina","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"45",1975,6.6585271408216,"Argentina","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"46",1975,7.8367609385516,"Argentina","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"47",1975,9.2803924804096,"Argentina","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"48",1975,11.2269635099028,"Argentina","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"49",1975,14.2894173017992,"Argentina","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"50",1975,25.68561132401,"Argentina","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",1.93929823565999,2586.6,0.1
"51",1975,4.166215053907,"Australia_NZ","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"52",1975,6.740006316033,"Australia_NZ","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"53",1975,8.331514965658,"Australia_NZ","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"54",1975,9.807842747206,"Australia_NZ","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"55",1975,11.31064833836,"Australia_NZ","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"56",1975,12.939256390473,"Australia_NZ","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"57",1975,14.839982016221,"Australia_NZ","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"58",1975,17.299213973323,"Australia_NZ","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"59",1975,20.476380976002,"Australia_NZ","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"60",1975,27.959939222817,"Australia_NZ","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",1.26377526715707,1685.6,0.1
"61",1975,0.3326581285528,"Brazil","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"62",1975,0.7741232619624,"Brazil","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"63",1975,1.182678504466,"Brazil","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"64",1975,1.6388236980812,"Brazil","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"65",1975,2.1735202049572,"Brazil","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"66",1975,2.8427076923152,"Brazil","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"67",1975,3.7675699956128,"Brazil","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"68",1975,5.1781883263504,"Brazil","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"69",1975,7.8396646246768,"Brazil","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"70",1975,22.7264655630252,"Brazil","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",8.03849840077793,10721.6,0.1
"71",1975,3.6292758,"Canada","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"72",1975,6.89103,"Canada","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"73",1975,8.881772,"Canada","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"74",1975,10.4590522,"Canada","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"75",1975,12.1128994,"Canada","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"76",1975,13.9811342,"Canada","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"77",1975,16.2781442,"Canada","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"78",1975,19.4020778,"Canada","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"79",1975,24.0267246,"Canada","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"80",1975,37.4718898,"Canada","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",1.72884396567246,2305.9,0.1
"81",1975,0.2782198871785,"Central America and Caribbean","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"82",1975,0.5557488823708,"Central America and Caribbean","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"83",1975,0.8644488044175,"Central America and Caribbean","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"84",1975,1.1740366585292,"Central America and Caribbean","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"85",1975,1.5640131618147,"Central America and Caribbean","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"86",1975,1.9524585364307,"Central America and Caribbean","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"87",1975,2.4567515861323,"Central America and Caribbean","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"88",1975,3.1672674446694,"Central America and Caribbean","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"89",1975,4.5542879736051,"Central America and Caribbean","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"90",1975,9.5100670387745,"Central America and Caribbean","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",3.38338790228982,4512.7,0.1
"91",1975,0.7257892503207,"Central Asia","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"92",1975,1.102899767271,"Central Asia","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"93",1975,1.4011660054845,"Central Asia","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"94",1975,1.6567176137871,"Central Asia","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"95",1975,2.0173619692878,"Central Asia","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"96",1975,2.3523186910254,"Central Asia","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"97",1975,2.8338389951823,"Central Asia","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"98",1975,3.4624939220595,"Central Asia","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"99",1975,4.3000162686888,"Central Asia","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"100",1975,6.4504975168929,"Central Asia","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",3.89681534827295,5197.5,0.1
"101",1975,0.11462711889986,"China","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"102",1975,0.175446336079,"China","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"103",1975,0.21196995763524,"China","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"104",1975,0.24359892042374,"China","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"105",1975,0.27457628633862,"China","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"106",1975,0.30796499265392,"China","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"107",1975,0.346981240102,"China","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"108",1975,0.3974091807756,"China","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"109",1975,0.47813098900028,"China","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"110",1975,0.79011497809174,"China","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",69.7783737046561,93069.1,0.1
"111",1975,0.2157167725554,"Colombia","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"112",1975,0.5433088243722,"Colombia","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"113",1975,0.8451846807894,"Colombia","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"114",1975,1.1781328103298,"Colombia","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"115",1975,1.5648360543666,"Colombia","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"116",1975,2.0425962895644,"Colombia","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"117",1975,2.6909239048668,"Colombia","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"118",1975,3.6615299456136,"Colombia","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"119",1975,5.4357942528666,"Colombia","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"120",1975,14.8837764646752,"Colombia","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",1.80434359156396,2406.6,0.1
"121",1975,2.0212787156016,"EU-12","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",7.46966457591315,9962.9,0.1
"122",1975,2.8792282800736,"EU-12","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",7.46966457591315,9962.9,0.1
"123",1975,3.4578096644,"EU-12","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",7.46966457591315,9962.9,0.1
"124",1975,3.9497963837696,"EU-12","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",7.46966457591315,9962.9,0.1
"125",1975,4.4522252882016,"EU-12","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",7.46966457591315,9962.9,0.1
