"","L203.StapleBaseService.region","L203.StapleBaseService.gcam.consumer","L203.StapleBaseService.nodeInput","L203.StapleBaseService.staples.food.demand.input","L203.StapleBaseService.year","L203.StapleBaseService.base.service"
"1","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,44.1407184
"2","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,67.2717432
"3","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,105.8426215
"4","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,123.8952399
"5","Africa_Eastern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,149.0123337
"6","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,54.5704606
"7","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,98.0733095
"8","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,128.9111414
"9","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,132.9766441
"10","Africa_Northern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,138.8458403
"11","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",1975,30.3187116
"12","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",1990,45.0090432
"13","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2005,66.4540066
"14","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2010,75.9177603
"15","Africa_Southern","FoodDemand","FoodDemand","FoodDemand_Staples",2015,83.3973323
"16","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",1975,76.607392
"17","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",1990,135.6998454
"18","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2005,211.4679333
"19","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2010,253.5248142
"20","Africa_Western","FoodDemand","FoodDemand","FoodDemand_Staples",2015,294.1858027
"21","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",1975,12.9603213
"22","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",1990,15.96624
"23","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2005,16.5584058
"24","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2010,20.9620409
"25","Argentina","FoodDemand","FoodDemand","FoodDemand_Staples",2015,19.5429581
"26","Australia_NZ","FoodDemand","FoodDemand","FoodDemand_Staples",1975,5.8130691
"27","Australia_NZ","FoodDemand","FoodDemand","FoodDemand_Staples",1990,6.7756538
