"","L203.DemandStapleParams_ConsumerGroups.region","L203.DemandStapleParams_ConsumerGroups.nodeInput","L203.DemandStapleParams_ConsumerGroups.staples.food.demand.input","L203.DemandStapleParams_ConsumerGroups.scale.param","L203.DemandStapleParams_ConsumerGroups.self.price.elasticity","L203.DemandStapleParams_ConsumerGroups.cross.price.elasticity","L203.DemandStapleParams_ConsumerGroups.income.elasticity","L203.DemandStapleParams_ConsumerGroups.income.max.term","L203.DemandStapleParams_ConsumerGroups.price.received","L203.DemandStapleParams_ConsumerGroups.staples_FE","L203.DemandStapleParams_ConsumerGroups.gcam.consumer"
"1","USA","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,-0.192243148,"FoodDemand_Group1"
"2","Africa_Eastern","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,-0.321308658,"FoodDemand_Group1"
"3","Africa_Northern","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,0.535321559,"FoodDemand_Group1"
"4","Africa_Southern","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,0.130166083,"FoodDemand_Group1"
"5","Africa_Western","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,-0.036577695,"FoodDemand_Group1"
"6","Australia_NZ","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,-0.183580774,"FoodDemand_Group1"
"7","Brazil","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,-0.062088092,"FoodDemand_Group1"
"8","Canada","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,-0.17868341,"FoodDemand_Group1"
"9","Central America and Caribbean","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,-0.324412064,"FoodDemand_Group1"
"10","Central Asia","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,0.149942564,"FoodDemand_Group1"
"11","China","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,0.252802722,"FoodDemand_Group1"
"12","EU-12","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,0.166324417,"FoodDemand_Group1"
"13","EU-15","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,-0.084269741,"FoodDemand_Group1"
"14","Europe_Eastern","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,0.2170273,"FoodDemand_Group1"
"15","Europe_Non_EU","FoodDemand","FoodDemand_Staples",1.123707314,-6.7e-05,-0.003825168,0.067210179,2.773,5.068607742,0.673328324,"FoodDemand_Group1"
