"","region","supplysector","year","base.service"
"90","Central America and Caribbean","FoodDemand_Staples",2015,38.1216581
"91","Central Asia","FoodDemand_NonStaples",1975,20.719675
"92","Central Asia","FoodDemand_NonStaples",1990,24.517248
"93","Central Asia","FoodDemand_NonStaples",2005,24.9823787
"94","Central Asia","FoodDemand_NonStaples",2010,34.9572292
"95","Central Asia","FoodDemand_NonStaples",2015,46.0315898
"96","Central Asia","FoodDemand_Staples",1975,41.9727868
"97","Central Asia","FoodDemand_Staples",1990,47.8705296
"98","Central Asia","FoodDemand_Staples",2005,49.7128866
"99","Central Asia","FoodDemand_Staples",2010,48.7909729
"100","Central Asia","FoodDemand_Staples",2015,48.4328687
"101","China","FoodDemand_NonStaples",1975,101.724877
"102","China","FoodDemand_NonStaples",1990,239.9535472
"103","China","FoodDemand_NonStaples",2005,538.1633853
"104","China","FoodDemand_NonStaples",2010,668.4859473
"105","China","FoodDemand_NonStaples",2015,770.5810174
"106","China","FoodDemand_Staples",1975,550.7600072
"107","China","FoodDemand_Staples",1990,783.6105379
"108","China","FoodDemand_Staples",2005,828.7626766
"109","China","FoodDemand_Staples",2010,846.241719
"110","China","FoodDemand_Staples",2015,886.7380482
"111","Colombia","FoodDemand_NonStaples",1975,6.4468651
"112","Colombia","FoodDemand_NonStaples",1990,11.2116243
"113","Colombia","FoodDemand_NonStaples",2005,17.8102737
"114","Colombia","FoodDemand_NonStaples",2010,23.9175609
"115","Colombia","FoodDemand_NonStaples",2015,31.3810297
"116","Colombia","FoodDemand_Staples",1975,8.566833
"117","Colombia","FoodDemand_Staples",1990,13.0218825
"118","Colombia","FoodDemand_Staples",2005,17.6705269
"119","Colombia","FoodDemand_Staples",2010,16.8340072
"120","Colombia","FoodDemand_Staples",2015,18.2664214
"121","EU-12","FoodDemand_NonStaples",1975,56.7587201
"122","EU-12","FoodDemand_NonStaples",1990,64.0024463
"123","EU-12","FoodDemand_NonStaples",2005,62.9874066
"124","EU-12","FoodDemand_NonStaples",2010,63.2257296
"125","EU-12","FoodDemand_NonStaples",2015,63.1382579
"126","EU-12","FoodDemand_Staples",1975,65.5009831
"127","EU-12","FoodDemand_Staples",1990,60.8195834
"128","EU-12","FoodDemand_Staples",2005,56.650625
"129","EU-12","FoodDemand_Staples",2010,53.5428591
"130","EU-12","FoodDemand_Staples",2015,50.6221043
"131","EU-15","FoodDemand_NonStaples",1975,212.9450448
"132","EU-15","FoodDemand_NonStaples",1990,260.6880831
"133","EU-15","FoodDemand_NonStaples",2005,289.7469694
"134","EU-15","FoodDemand_NonStaples",2010,302.3354948
"135","EU-15","FoodDemand_NonStaples",2015,304.3233164
"136","EU-15","FoodDemand_Staples",1975,148.131609
"137","EU-15","FoodDemand_Staples",1990,152.6100324
"138","EU-15","FoodDemand_Staples",2005,169.7788635
"139","EU-15","FoodDemand_Staples",2010,169.2193258
"140","EU-15","FoodDemand_Staples",2015,172.2254987
"141","Europe_Eastern","FoodDemand_NonStaples",1975,31.2460215
"142","Europe_Eastern","FoodDemand_NonStaples",1990,35.8876428
"143","Europe_Eastern","FoodDemand_NonStaples",2005,28.4418544
"144","Europe_Eastern","FoodDemand_NonStaples",2010,31.6800531
"145","Europe_Eastern","FoodDemand_NonStaples",2015,31.0908388
"146","Europe_Eastern","FoodDemand_Staples",1975,38.6181318
"147","Europe_Eastern","FoodDemand_Staples",1990,39.1424952
"148","Europe_Eastern","FoodDemand_Staples",2005,44.2231032
"149","Europe_Eastern","FoodDemand_Staples",2010,31.5446885
"150","Europe_Eastern","FoodDemand_Staples",2015,31.1230818
"151","Europe_Non_EU","FoodDemand_NonStaples",1975,24.3545435
"152","Europe_Non_EU","FoodDemand_NonStaples",1990,35.6965504
"153","Europe_Non_EU","FoodDemand_NonStaples",2005,44.3750356
"154","Europe_Non_EU","FoodDemand_NonStaples",2010,55.4183438
"155","Europe_Non_EU","FoodDemand_NonStaples",2015,65.5527673
"156","Europe_Non_EU","FoodDemand_Staples",1975,46.8621856
"157","Europe_Non_EU","FoodDemand_Staples",1990,63.4177897
"158","Europe_Non_EU","FoodDemand_Staples",2005,64.8340012
"159","Europe_Non_EU","FoodDemand_Staples",2010,60.3785428
"160","Europe_Non_EU","FoodDemand_Staples",2015,59.2371315
"161","European Free Trade Association","FoodDemand_NonStaples",1975,8.3941073
"162","European Free Trade Association","FoodDemand_NonStaples",1990,9.2752688
"163","European Free Trade Association","FoodDemand_NonStaples",2005,10.1799792
"164","European Free Trade Association","FoodDemand_NonStaples",2010,10.6956945
"165","European Free Trade Association","FoodDemand_NonStaples",2015,10.7137734
"166","European Free Trade Association","FoodDemand_Staples",1975,3.8804033
"167","European Free Trade Association","FoodDemand_Staples",1990,4.4647061
"168","European Free Trade Association","FoodDemand_Staples",2005,5.1328611
"169","European Free Trade Association","FoodDemand_Staples",2010,4.9205744
"170","European Free Trade Association","FoodDemand_Staples",2015,5.0074258
"171","India","FoodDemand_NonStaples",1975,107.7780182
"172","India","FoodDemand_NonStaples",1990,178.5820851
"173","India","FoodDemand_NonStaples",2005,263.4636153
"174","India","FoodDemand_NonStaples",2010,380.161371
"175","India","FoodDemand_NonStaples",2015,491.4417146
"176","India","FoodDemand_Staples",1975,341.26898
"177","India","FoodDemand_Staples",1990,540.1570925
"178","India","FoodDemand_Staples",2005,653.0945806
"179","India","FoodDemand_Staples",2010,674.3601776
"180","India","FoodDemand_Staples",2015,687.1941321
"181","Indonesia","FoodDemand_NonStaples",1975,14.9084105
"182","Indonesia","FoodDemand_NonStaples",1990,34.1270727
"183","Indonesia","FoodDemand_NonStaples",2005,51.8793037
"184","Indonesia","FoodDemand_NonStaples",2010,62.7675895
"185","Indonesia","FoodDemand_NonStaples",2015,86.6094972
"186","Indonesia","FoodDemand_Staples",1975,81.6676779
"187","Indonesia","FoodDemand_Staples",1990,129.6895408
"188","Indonesia","FoodDemand_Staples",2005,157.4950034
"189","Indonesia","FoodDemand_Staples",2010,169.6667481
"190","Indonesia","FoodDemand_Staples",2015,184.3531159
"191","Japan","FoodDemand_NonStaples",1975,36.0584727
"192","Japan","FoodDemand_NonStaples",1990,50.2036871
"193","Japan","FoodDemand_NonStaples",2005,54.5680542
"194","Japan","FoodDemand_NonStaples",2010,56.051157
"195","Japan","FoodDemand_NonStaples",2015,57.8491196
"196","Japan","FoodDemand_Staples",1975,64.3053586
"197","Japan","FoodDemand_Staples",1990,64.5407926
"198","Japan","FoodDemand_Staples",2005,59.0875738
"199","Japan","FoodDemand_Staples",2010,55.4832621
"200","Japan","FoodDemand_Staples",2015,55.1116504
"201","Mexico","FoodDemand_NonStaples",1975,20.6050576
"202","Mexico","FoodDemand_NonStaples",1990,33.3824203
"203","Mexico","FoodDemand_NonStaples",2005,51.0758577
"204","Mexico","FoodDemand_NonStaples",2010,62.7577127
"205","Mexico","FoodDemand_NonStaples",2015,71.5146933
"206","Mexico","FoodDemand_Staples",1975,34.1186752
"207","Mexico","FoodDemand_Staples",1990,51.2315311
"208","Mexico","FoodDemand_Staples",2005,62.8529898
"209","Mexico","FoodDemand_Staples",2010,60.934102
"210","Mexico","FoodDemand_Staples",2015,63.0754915
"211","Middle East","FoodDemand_NonStaples",1975,20.7675489
"212","Middle East","FoodDemand_NonStaples",1990,44.5714652
"213","Middle East","FoodDemand_NonStaples",2005,70.4189426
"214","Middle East","FoodDemand_NonStaples",2010,97.0648348
"215","Middle East","FoodDemand_NonStaples",2015,117.532227
"216","Middle East","FoodDemand_Staples",1975,43.4032717
"217","Middle East","FoodDemand_Staples",1990,90.0750718
"218","Middle East","FoodDemand_Staples",2005,125.246554
"219","Middle East","FoodDemand_Staples",2010,121.0981159
"220","Middle East","FoodDemand_Staples",2015,129.4804731
"221","Pakistan","FoodDemand_NonStaples",1975,15.0807659
"222","Pakistan","FoodDemand_NonStaples",1990,28.7250082
"223","Pakistan","FoodDemand_NonStaples",2005,47.6289749
"224","Pakistan","FoodDemand_NonStaples",2010,59.7926945
"225","Pakistan","FoodDemand_NonStaples",2015,71.616321
"226","Pakistan","FoodDemand_Staples",1975,39.6164302
"227","Pakistan","FoodDemand_Staples",1990,58.6552897
"228","Pakistan","FoodDemand_Staples",2005,80.2700944
"229","Pakistan","FoodDemand_Staples",2010,85.8052237
"230","Pakistan","FoodDemand_Staples",2015,90.700029
"231","Russia","FoodDemand_NonStaples",1975,63.4843117
"232","Russia","FoodDemand_NonStaples",1990,73.2159849
"233","Russia","FoodDemand_NonStaples",2005,66.7658459
