"","L201.Pop_gSSP2.region","L201.Pop_gSSP2.year","L201.Pop_gSSP2.totalPop"
"1","USA",1975,222013
"2","USA",1990,255627
"3","USA",2005,298733
"4","USA",2010,312697
"5","USA",2015,324365
"6","Africa_Eastern",1975,91890
"7","Africa_Eastern",1990,145593
"8","Africa_Eastern",2005,222829
"9","Africa_Eastern",2010,255333
"10","Africa_Eastern",2015,292560
"11","Africa_Northern",1975,81330
"12","Africa_Northern",1990,119597
"13","Africa_Northern",2005,155472
"14","Africa_Northern",2010,168395
"15","Africa_Northern",2015,184959
"16","Africa_Southern",1975,53046
"17","Africa_Southern",1990,83159
"18","Africa_Southern",2005,121701
"19","Africa_Southern",2010,139244
"20","Africa_Southern",2015,160447
"21","Africa_Western",1975,159160
"22","Africa_Western",1990,239535
"23","Africa_Western",2005,360464
"24","Africa_Western",2010,415301
"25","Africa_Western",2015,478031
"26","Australia_NZ",1975,16856
"27","Australia_NZ",1990,20359
"28","Australia_NZ",2005,24314
"29","Australia_NZ",2010,26525
"30","Australia_NZ",2015,28547
"31","Brazil",1975,107216
"32","Brazil",1990,149003
"33","Brazil",2005,186127
"34","Brazil",2010,195714
"35","Brazil",2015,204472
"36","Canada",1975,23059
"37","Canada",1990,27541
"38","Canada",2005,32164
"39","Canada",2010,34148
"40","Canada",2015,36027
"41","Central America and Caribbean",1975,45127
"42","Central America and Caribbean",1990,59989
"43","Central America and Caribbean",2005,75932
"44","Central America and Caribbean",2010,80984
"45","Central America and Caribbean",2015,86156
"46","Central Asia",1975,51975
"47","Central Asia",1990,68498
"48","Central Asia",2005,76706
"49","Central Asia",2010,81534
"50","Central Asia",2015,88051
"51","China",1975,930691
"52","China",1990,1182955
"53","China",2005,1338029
"54","China",2010,1376315
"55","China",2015,1414636
"56","EU-12",1975,99629
"57","EU-12",1990,107358
"58","EU-12",2005,103595
"59","EU-12",2010,102240
"60","EU-12",2015,100885
"61","EU-15",1975,350014
"62","EU-15",1990,365030
"63","EU-15",2005,387123
"64","EU-15",2010,396932
"65","EU-15",2015,404066
"66","Europe_Eastern",1975,61848
"67","Europe_Eastern",1990,65980
"68","Europe_Eastern",2005,60612
"69","Europe_Eastern",2010,59299
"70","Europe_Eastern",2015,58432
"71","Europe_Non_EU",1975,61029
"72","Europe_Non_EU",1990,78577
"73","Europe_Non_EU",2005,91004
"74","Europe_Non_EU",2010,94995
"75","Europe_Non_EU",2015,100665
"76","European Free Trade Association",1975,10587
"77","European Free Trade Association",1990,11184
"78","European Free Trade Association",2005,12349
"79","European Free Trade Association",2010,13051
"80","European Free Trade Association",2015,13864
"81","India",1975,623103
"82","India",1990,873278
"83","India",2005,1147610
"84","India",2010,1234281
"85","India",2015,1310152
"86","Indonesia",1975,130681
"87","Indonesia",1990,181413
"88","Indonesia",2005,226289
"89","Indonesia",2010,241834
"90","Indonesia",2015,258383
"91","Japan",1975,112413
"92","Japan",1990,124505
"93","Japan",2005,128326
"94","Japan",2010,128542
"95","Japan",2015,127985
"96","Mexico",1975,59608
"97","Mexico",1990,83943
"98","Mexico",2005,106005
"99","Mexico",2010,114093
"100","Mexico",2015,121858
"101","Middle East",1975,78298
"102","Middle East",1990,133782
"103","Middle East",2005,190643
"104","Middle East",2010,216724
"105","Middle East",2015,240169
"106","Pakistan",1975,66817
"107","Pakistan",1990,107648
"108","Pakistan",2005,160304
"109","Pakistan",2010,179425
"110","Pakistan",2015,199427
"111","Russia",1975,133805
"112","Russia",1990,147532
"113","Russia",2005,143672
"114","Russia",2010,143479
"115","Russia",2015,144985
"116","South Africa",1975,25195
"117","South Africa",1990,36801
"118","South Africa",2005,47881
"119","South Africa",2010,51217
"120","South Africa",2015,55386
"121","South America_Northern",1975,14351
"122","South America_Northern",1990,20897
"123","South America_Northern",2005,27881
"124","South America_Northern",2010,29952
"125","South America_Northern",2015,31669
"126","South America_Southern",1975,43634
"127","South America_Southern",1990,59775
"128","South America_Southern",2005,76253
"129","South America_Southern",2010,80757
"130","South America_Southern",2015,85623
"131","South Asia",1975,110416
"132","South Asia",1990,152569
"133","South Asia",2005,210948
"134","South Asia",2010,225087
"135","South Asia",2015,239776
"136","South Korea",1975,35379
"137","South Korea",1990,42918
"138","South Korea",2005,48701
"139","South Korea",2010,49546
"140","South Korea",2015,50823
"141","Southeast Asia",1975,209955
"142","Southeast Asia",1990,290435
"143","Southeast Asia",2005,368399
"144","Southeast Asia",2010,390297
"145","Southeast Asia",2015,412741
"146","Taiwan",1975,16465
"147","Taiwan",1990,20479
"148","Taiwan",2005,22706
