"","year","pc_GDP","region","gcam.consumer","model","Units","input","value","totalPop","subregional.population.share"
"1",1975,0.09422942745944,"Africa_Eastern","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",0,9189,0.1
"2",1975,0.17284306915512,"Africa_Eastern","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",0,9189,0.1
"3",1975,0.21942137994952,"Africa_Eastern","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",0,9189,0.1
"4",1975,0.26566876949648,"Africa_Eastern","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",0.708021600366418,9189,0.1
"5",1975,0.3171225656816,"Africa_Eastern","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",2.13146455388903,9189,0.1
"6",1975,0.38574217437224,"Africa_Eastern","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",4.0432966845471,9189,0.1
"7",1975,0.48325775986768,"Africa_Eastern","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",6.10880020940411,9189,0.1
"8",1975,0.6676609788464,"Africa_Eastern","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",8.10091784128687,9189,0.1
"9",1975,0.94506596443224,"Africa_Eastern","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",8.84713112568173,9189,0.1
"10",1975,2.452747892728,"Africa_Eastern","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",6.70744957970694,9189,0.1
"11",1975,0.37881238978,"Africa_Northern","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",6.39285437772317,8133,0.1
"12",1975,0.598111483524,"Africa_Northern","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",9.11397134700761,8133,0.1
"13",1975,0.756437525504,"Africa_Northern","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",9.67731181651624,8133,0.1
"14",1975,0.911641526544,"Africa_Northern","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",9.78017012627977,8133,0.1
"15",1975,1.162321473676,"Africa_Northern","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",9.53449075620301,8133,0.1
"16",1975,1.45498746228,"Africa_Northern","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",9.11504915040252,8133,0.1
"17",1975,1.861811359232,"Africa_Northern","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",8.56145939586153,8133,0.1
"18",1975,2.79591219066,"Africa_Northern","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",7.64675222072795,8133,0.1
"19",1975,3.786571965636,"Africa_Northern","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",7.05405112840487,8133,0.1
"20",1975,8.761392623164,"Africa_Northern","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",5.91973415534911,8133,0.1
"21",1975,0.047926651422,"Africa_Southern","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",0.205197015210705,5304.6,0.1
"22",1975,0.10513403638191,"Africa_Southern","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",0.205246611762191,5304.6,0.1
"23",1975,0.15795837363465,"Africa_Southern","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",0.223897931446557,5304.6,0.1
"24",1975,0.21337327410204,"Africa_Southern","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",0.445055361341218,5304.6,0.1
"25",1975,0.29609412154011,"Africa_Southern","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",1.47333178160246,5304.6,0.1
"26",1975,0.4384147693227,"Africa_Southern","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",3.54821668197209,5304.6,0.1
"27",1975,0.67344285170058,"Africa_Southern","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",5.05521735754156,5304.6,0.1
"28",1975,0.93185714713509,"Africa_Southern","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",5.32219024448121,5304.6,0.1
"29",1975,1.45294111382922,"Africa_Southern","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",4.93664504502281,5304.6,0.1
"30",1975,4.0350676609317,"Africa_Southern","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",3.47572274298164,5304.6,0.1
"31",1975,0.094746226281,"Africa_Western","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",1.16000808141885,15916,0.1
"32",1975,0.184517722095,"Africa_Western","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",1.39636288739818,15916,0.1
"33",1975,0.272250187503,"Africa_Western","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",3.73263504297021,15916,0.1
"34",1975,0.379033034583,"Africa_Western","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",8.4888434087601,15916,0.1
"35",1975,0.504455133378,"Africa_Western","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",12.8634340712253,15916,0.1
"36",1975,0.72803120796,"Africa_Western","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",16.1726443621148,15916,0.1
"37",1975,1.015008375339,"Africa_Western","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",16.6766269205043,15916,0.1
"38",1975,1.343798806182,"Africa_Western","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",15.9782011037742,15916,0.1
"39",1975,1.976588073033,"Africa_Western","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",14.2222121857087,15916,0.1
"40",1975,4.442571233646,"Africa_Western","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",10.8328496476311,15916,0.1
"41",1975,2.0929748342492,"Argentina","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",2.16126018828504,2586.6,0.1
"42",1975,3.5835586555956,"Argentina","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",1.78303813129477,2586.6,0.1
"43",1975,4.6272262307788,"Argentina","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",1.6379394834939,2586.6,0.1
"44",1975,5.6181675838816,"Argentina","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",1.54367354937788,2586.6,0.1
"45",1975,6.6585271408216,"Argentina","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",1.47158429225604,2586.6,0.1
"46",1975,7.8367609385516,"Argentina","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",1.41078263762363,2586.6,0.1
"47",1975,9.2803924804096,"Argentina","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",1.35544191061663,2586.6,0.1
"48",1975,11.2269635099028,"Argentina","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",1.30149286378035,2586.6,0.1
"49",1975,14.2894173017992,"Argentina","FoodDemand_Group9","Ambrosia","Pcal/year","FoodDemand_Staples",1.24413055145223,2586.6,0.1
"50",1975,25.68561132401,"Argentina","FoodDemand_Group10","Ambrosia","Pcal/year","FoodDemand_Staples",1.14410623009646,2586.6,0.1
"51",1975,4.166215053907,"Australia_NZ","FoodDemand_Group1","Ambrosia","Pcal/year","FoodDemand_Staples",0.908912137956784,1685.6,0.1
"52",1975,6.740006316033,"Australia_NZ","FoodDemand_Group2","Ambrosia","Pcal/year","FoodDemand_Staples",0.760867658141857,1685.6,0.1
"53",1975,8.331514965658,"Australia_NZ","FoodDemand_Group3","Ambrosia","Pcal/year","FoodDemand_Staples",0.710930541930396,1685.6,0.1
"54",1975,9.807842747206,"Australia_NZ","FoodDemand_Group4","Ambrosia","Pcal/year","FoodDemand_Staples",0.677841884623047,1685.6,0.1
"55",1975,11.31064833836,"Australia_NZ","FoodDemand_Group5","Ambrosia","Pcal/year","FoodDemand_Staples",0.652287857770103,1685.6,0.1
"56",1975,12.939256390473,"Australia_NZ","FoodDemand_Group6","Ambrosia","Pcal/year","FoodDemand_Staples",0.630749100196139,1685.6,0.1
"57",1975,14.839982016221,"Australia_NZ","FoodDemand_Group7","Ambrosia","Pcal/year","FoodDemand_Staples",0.61111309599475,1685.6,0.1
"58",1975,17.299213973323,"Australia_NZ","FoodDemand_Group8","Ambrosia","Pcal/year","FoodDemand_Staples",0.591614452404234,1685.6,0.1
