"","region","year","partial_difference","input","totalPop","gcam.consumer","subregional.population.share"
"1","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d1",0.1
"2","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d2",0.1
"3","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d3",0.1
"4","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d4",0.1
"5","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d5",0.1
"6","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d6",0.1
"7","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d7",0.1
"8","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d8",0.1
"9","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d9",0.1
"10","Africa_Eastern",1975,223.424875338375,"FoodDemand_Staples",9189,"d10",0.1
"11","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d1",0.1
"12","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d2",0.1
"13","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d3",0.1
"14","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d4",0.1
"15","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d5",0.1
"16","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d6",0.1
"17","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d7",0.1
"18","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d8",0.1
"19","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d9",0.1
"20","Africa_Eastern",1990,249.132911172948,"FoodDemand_Staples",14559.3,"d10",0.1
"21","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d1",0.1
"22","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d2",0.1
"23","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d3",0.1
"24","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d4",0.1
"25","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d5",0.1
"26","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d6",0.1
"27","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d7",0.1
"28","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d8",0.1
"29","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d9",0.1
"30","Africa_Eastern",2005,161.417424049333,"FoodDemand_Staples",22282.9,"d10",0.1
"31","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d1",0.1
"32","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d2",0.1
"33","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d3",0.1
"34","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d4",0.1
"35","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d5",0.1
"36","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d6",0.1
"37","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d7",0.1
"38","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d8",0.1
"39","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d9",0.1
"40","Africa_Eastern",2010,-69.8956913035109,"FoodDemand_Staples",25533.3,"d10",0.1
"41","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d1",0.1
"42","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d2",0.1
"43","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d3",0.1
"44","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d4",0.1
"45","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d5",0.1
"46","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d6",0.1
"47","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d7",0.1
"48","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d8",0.1
"49","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d9",0.1
"50","Africa_Eastern",2015,-133.257235634178,"FoodDemand_Staples",29256,"d10",0.1
"51","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d1",0.1
"52","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d2",0.1
"53","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d3",0.1
"54","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d4",0.1
"55","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d5",0.1
"56","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d6",0.1
"57","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d7",0.1
"58","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d8",0.1
"59","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d9",0.1
"60","Africa_Northern",1975,-950.815428921434,"FoodDemand_Staples",8133,"d10",0.1
"61","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d1",0.1
"62","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d2",0.1
"63","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d3",0.1
"64","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d4",0.1
"65","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d5",0.1
"66","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d6",0.1
"67","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d7",0.1
"68","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d8",0.1
"69","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d9",0.1
"70","Africa_Northern",1990,-430.080500013567,"FoodDemand_Staples",11959.7,"d10",0.1
"71","Africa_Northern",2005,-251.114245413341,"FoodDemand_Staples",15547.2,"d1",0.1
"72","Africa_Northern",2005,-251.114245413341,"FoodDemand_Staples",15547.2,"d2",0.1
"73","Africa_Northern",2005,-251.114245413341,"FoodDemand_Staples",15547.2,"d3",0.1
"74","Africa_Northern",2005,-251.114245413341,"FoodDemand_Staples",15547.2,"d4",0.1
"75","Africa_Northern",2005,-251.114245413341,"FoodDemand_Staples",15547.2,"d5",0.1
"76","Africa_Northern",2005,-251.114245413341,"FoodDemand_Staples",15547.2,"d6",0.1
"77","Africa_Northern",2005,-251.114245413341,"FoodDemand_Staples",15547.2,"d7",0.1
