# File: A_demand_food_staples_ConsumerGroups.csv
# Title: Final demand (gcam-consumer) info
# Units: Various
# Description: Info related to gcam-consumer objects
# Source: RYC STW and RPL analysis
# Column types: ccccnnnnnn
# ----------
gcam.consumer,nodeInput,prodDmdFnType,staples.food.demand.input,scale.param,self.price.elasticity,cross.price.elasticity,income.elasticity,income.max.term,price.received
FoodDemand_Group1,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
FoodDemand_Group2,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
FoodDemand_Group3,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
FoodDemand_Group4,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
FoodDemand_Group5,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
FoodDemand_Group6,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
FoodDemand_Group7,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
FoodDemand_Group8,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
FoodDemand_Group9,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
FoodDemand_Group10,FoodDemand,food-demand-function,FoodDemand_Staples,1.123707314,-0.000067,-0.003825168,0.067210179,2.773,5.068607742
